  0.8500    0.156204663377853D+03    0.512000000000000D-03    0.800000000000000D-01    0.674303370730869D-10   -0.153224112761972D-15
  0.8500    0.138353977822348D+03    0.614165965682091D-03    0.850018899548440D-01    0.123399895710093D-09   -0.380850256268009D-15
  0.8500    0.123395413242812D+03    0.729091855663154D-03    0.900037799096879D-01    0.218110439498111D-09   -0.898590742307160D-15
  0.8500    0.110736256093234D+03    0.857528520744381D-03    0.950056698645319D-01    0.373742874516962D-09   -0.202391158320105D-14
  0.8500    0.999282030917959D+02    0.100022681172697D-02    0.100007559819376D+00    0.622852894570676D-09   -0.437227511815378D-14
  0.8500    0.906271087885077D+02    0.115793757941211D-02    0.105009449774220D+00    0.101226330858215D-08   -0.909644613865997D-14
  0.8500    0.825652397976790D+02    0.133141167460099D-02    0.110011339729064D+00    0.160809494624849D-08   -0.182894011004732D-13
  0.8500    0.755317840488423D+02    0.152139994809482D-02    0.115013229683908D+00    0.250218616494278D-08   -0.356453836834966D-13
  0.8500    0.693589229358702D+02    0.172865325069478D-02    0.120015119638752D+00    0.382018735166041D-08   -0.675192704610050D-13
  0.8500    0.639117231344255D+02    0.195392243320207D-02    0.125017009593596D+00    0.573165887278024D-08   -0.124588174133073D-12
  0.8500    0.590806961784940D+02    0.219795834641788D-02    0.130018899548440D+00    0.846254565970432D-08   -0.224406822357473D-12
  0.8500    0.547762504568396D+02    0.246151184114341D-02    0.135020789503284D+00    0.123104503656509D-07   -0.395266871231105D-12
  0.8500    0.509245048852761D+02    0.274533376817984D-02    0.140022679458127D+00    0.176631796833000D-07   -0.681928715537570D-12
  0.8500    0.474640952813679D+02    0.305017497832839D-02    0.145024569412971D+00    0.250210951679408D-07   -0.115400320238665D-11
  0.8500    0.443437132519090D+02    0.337678632239023D-02    0.150026459367815D+00    0.350238609426742D-07   -0.191803275538221D-11
  0.8500    0.415201916843606D+02    0.372591865116656D-02    0.155028349322659D+00    0.484822461577306D-07   -0.313467203131645D-11
  0.8500    0.389570023780132D+02    0.409832281545858D-02    0.160030239277503D+00    0.664157102341668D-07   -0.504281536514721D-11
  0.8500    0.366230674507060D+02    0.449474966606747D-02    0.165032129232347D+00    0.900965739532388D-07   -0.799308297579145D-11
  0.8500    0.344918118008775D+02    0.491595005379445D-02    0.170034019187191D+00    0.121101659577122D-06   -0.124937846507824D-10
  0.8500    0.325404023299441D+02    0.536267482944069D-02    0.175035909142035D+00    0.161372368696368D-06   -0.192733565573949D-10
  0.8500    0.307491330104292D+02    0.583567484380739D-02    0.180037799096879D+00    0.213284257403297D-06   -0.293643461260606D-10
  0.8500    0.291009246997081D+02    0.633570094769574D-02    0.185039689051723D+00    0.279727265619531D-06   -0.442153381885969D-10
  0.8500    0.275809158658846D+02    0.686350399190695D-02    0.190041579006567D+00    0.364197860087458D-06   -0.658388139350763D-10
  0.8500    0.261761258202777D+02    0.741983482724220D-02    0.195043468961411D+00    0.470904460368564D-06   -0.970048590431897D-10
  0.8500    0.248751761393737D+02    0.800544430450268D-02    0.200045358916255D+00    0.604887633338665D-06   -0.141492940020696D-09
  0.8500    0.236680590627850D+02    0.862108327448960D-02    0.205047248871099D+00    0.772156665136077D-06   -0.204416705489792D-09
  0.8500    0.225459440274780D+02    0.926750258800414D-02    0.210049138825943D+00    0.979844250416620D-06   -0.292640004740678D-09
  0.8500    0.215010153267986D+02    0.994545309584751D-02    0.215051028780787D+00    0.123638117754498D-05   -0.415306118375129D-09
  0.8500    0.205263353003996D+02    0.106556856488209D-01    0.220052918735631D+00    0.155169303538800D-05   -0.584506640499374D-09
  0.8500    0.196157285673104D+02    0.113989510977255D-01    0.225054808690475D+00    0.193742112311509D-05   -0.816121620418967D-09
  0.8500    0.187636836827300D+02    0.121760002933624D-01    0.230056698645319D+00    0.240716990929302D-05   -0.113086855243806D-08
  0.8500    0.179652692847153D+02    0.129875840865330D-01    0.235058588600163D+00    0.297678356105375D-05   -0.155560469017372D-08
  0.8500    0.172160623412128D+02    0.138344533280384D-01    0.240060478555007D+00    0.366465424872344D-05   -0.212493505854744D-08
  0.8500    0.165120865422361D+02    0.147173588686797D-01    0.245062368509851D+00    0.449207844858874D-05   -0.288325172823800D-08
  0.8500    0.158497592303596D+02    0.156370515592583D-01    0.250064258464694D+00    0.548357109641719D-05   -0.388682674542679D-08
  0.8500    0.152258455434391D+02    0.165942822505751D-01    0.255066148419538D+00    0.666742068014282D-05   -0.520738967810158D-08
  0.8500    0.146374186707514D+02    0.175898017934316D-01    0.260068038374382D+00    0.807602255532797D-05   -0.693503989212198D-08
  0.8500    0.140818253085514D+02    0.186243610386288D-01    0.265069928329226D+00    0.974646055458934D-05   -0.918285078976261D-08
  0.8500    0.135566555519555D+02    0.196987108369680D-01    0.270071818284070D+00    0.117210611839797D-04   -0.120919457718616D-07
  0.8500    0.130597165837755D+02    0.208136020392503D-01    0.275073708238914D+00    0.140480179883602D-04   -0.158376410173746D-07
  0.8500    0.125890096227642D+02    0.219697854962770D-01    0.280075598193758D+00    0.167820773778014D-04   -0.206367571765215D-07
  0.8500    0.121427096778484D+02    0.231680120588492D-01    0.285077488148602D+00    0.199852908313654D-04   -0.267562888825467D-07
  0.8500    0.117191477246782D+02    0.244090325777681D-01    0.290079378103446D+00    0.237278387135462D-04   -0.345236459864675D-07
  0.8500    0.113167949788419D+02    0.256935979038349D-01    0.295081268058290D+00    0.280889312750361D-04   -0.443387079458903D-07
  0.8500    0.109342489885354D+02    0.270224588878509D-01    0.300083158013134D+00    0.331577927643437D-04   -0.566879630127651D-07
  0.8500    0.105702213100358D+02    0.283963663806171D-01    0.305085047967978D+00    0.390347349510433D-04   -0.721610369237180D-07
  0.8500    0.102235265634013D+02    0.298160712329349D-01    0.310086937922822D+00    0.458323267562704D-04   -0.914699518542865D-07
  0.8500    0.989307269453051D+01    0.312823242956054D-01    0.315088827877666D+00    0.536766671026111D-04   -0.115471495601627D-06
  0.8500    0.957785229396704D+01    0.327958764194297D-01    0.320090717832510D+00    0.627087685351343D-04   -0.145193123445555D-06
  0.8500    0.927693484339564D+01    0.343574784552092D-01    0.325092607787354D+00    0.730860596295729D-04   -0.181862861026749D-06
  0.8500    0.898945977823628D+01    0.359678812537449D-01    0.330094497742198D+00    0.849840146940961D-04   -0.226943725975269D-06
  0.8500    0.871463026962213D+01    0.376278356658381D-01    0.335096387697042D+00    0.985979197899486D-04   -0.282173238998546D-06
  0.8500    0.845170764175234D+01    0.393380925422900D-01    0.340098277651886D+00    0.114144784645519D-03   -0.349608651738470D-06
  0.8500    0.820000635148853D+01    0.410994027339017D-01    0.345100167606730D+00    0.131865410621141D-03   -0.431678578934073D-06
  0.8500    0.795888946639874D+01    0.429125170914745D-01    0.350102057561574D+00    0.152026625501216D-03   -0.531241786231325D-06
  0.8500    0.772776458548229D+01    0.447781864658095D-01    0.355103947516417D+00    0.174923696548394D-03   -0.651653952232411D-06
