time,SOI
1978.0417,-0.3
1978.125,-2.7
1978.2083,-0.2
1978.2917,-0.3
1978.375,1.4
1978.4583,0.7
1978.5417,0.6
1978.625,0.4
1978.7083,0.1
1978.7917,-0.4
1978.875,0
1978.9583,-0.1
1979.0417,-0.4
1979.125,1
1979.2083,0.1
1979.2917,-0.1
1979.375,0.5
1979.4583,0.6
1979.5417,1.3
1979.625,-0.2
1979.7083,0.1
1979.7917,-0.1
1979.875,-0.4
1979.9583,-0.7
1980.0417,0.4
1980.125,0.3
1980.2083,-0.4
1980.2917,-0.6
1980.375,0
1980.4583,0
1980.5417,0
1980.625,0.4
1980.7083,-0.5
1980.7917,0
1980.875,-0.3
1980.9583,-0.1
1981.0417,0.4
1981.125,-0.2
1981.2083,-1.3
1981.2917,-0.1
1981.375,0.8
1981.4583,1.2
1981.5417,0.8
1981.625,0.7
1981.7083,0.3
1981.7917,-0.4
1981.875,0.2
1981.9583,0.5
1982.0417,1.2
1982.125,0.3
1982.2083,0.6
1982.2917,0.1
1982.375,-0.3
1982.4583,-1
1982.5417,-1.5
1982.625,-1.7
1982.7083,-1.7
1982.7917,-1.7
1982.875,-2.6
1982.9583,-2.2
1983.0417,-3.5
1983.125,-3.6
1983.2083,-2.4
1983.2917,-0.9
1983.375,0.6
1983.4583,0
1983.5417,-0.6
1983.625,0.1
1983.7083,0.9
1983.7917,0.4
1983.875,-0.1
1983.9583,0
1984.0417,0.2
1984.125,0.9
1984.2083,-0.2
1984.2917,0.3
1984.375,0.2
1984.4583,-0.3
1984.5417,0.2
1984.625,0.4
1984.7083,0.1
1984.7917,-0.3
1984.875,0.3
1984.9583,-0.1
1985.0417,-0.3
1985.125,1.2
1985.2083,0.8
1985.2917,1.2
1985.375,0.4
1985.4583,-0.4
1985.5417,-0.1
1985.625,1
1985.7083,0
1985.7917,-0.4
1985.875,-0.2
1985.9583,0.2
1986.0417,1
1986.125,-1
1986.2083,0.5
1986.2917,0.3
1986.375,-0.2
1986.4583,1
1986.5417,0.3
1986.625,-0.4
1986.7083,-0.5
1986.7917,0.6
1986.875,-1.2
1986.9583,-1.4
1987.0417,-0.7
1987.125,-1.2
1987.2083,-1.3
1987.2917,-1.4
1987.375,-1.3
1987.4583,-1.1
1987.5417,-1.4
1987.625,-0.9
1987.7083,-1
1987.7917,-0.4
1987.875,0
1987.9583,-0.5
1988.0417,-0.1
1988.125,-0.4
1988.2083,0.6
1988.2917,0.1
1988.375,0.9
1988.4583,0.1
1988.5417,1
1988.625,1.5
1988.7083,1.8
1988.7917,1.4
1988.875,1.7
1988.9583,1.2
1989.0417,1.5
1989.125,1.2
1989.2083,1.1
1989.2917,1.6
1989.375,1.2
1989.4583,0.7
1989.5417,0.9
1989.625,-0.3
1989.7083,0.5
1989.7917,0.8
1989.875,-0.2
1989.9583,-0.5
1990.0417,-0.1
1990.125,-1.8
1990.2083,-0.4
1990.2917,0.2
1990.375,1.2
1990.4583,0.3
1990.5417,0.5
1990.625,-0.2
1990.7083,-0.7
1990.7917,0.3
1990.875,-0.5
1990.9583,-0.2
1991.0417,0.6
1991.125,0.3
1991.2083,-0.7
1991.2917,-0.6
1991.375,-1
1991.4583,-0.1
1991.5417,0
1991.625,-0.4
1991.7083,-1.5
1991.7917,-1
1991.875,-0.7
1991.9583,-1.8
1992.0417,-2.9
1992.125,-0.9
1992.2083,-2
1992.2917,-1
1992.375,0.3
1992.4583,-0.6
1992.5417,-0.6
1992.625,0.4
1992.7083,0.1
1992.7917,-1.4
1992.875,-0.7
1992.9583,-0.6
1993.0417,-0.9
1993.125,-0.7
1993.2083,-0.5
1993.2917,-1.2
1993.375,-0.3
1993.4583,-0.8
1993.5417,-0.8
1993.625,-0.9
1993.7083,-0.7
1993.7917,-1.1
1993.875,-0.1
1993.9583,0.2
1994.0417,-0.1
1994.125,0.3
1994.2083,-0.7
1994.2917,-1.3
1994.375,-0.7
1994.4583,-0.4
1994.5417,-1.3
1994.625,-1.2
1994.7083,-1.6
1994.7917,-1.1
1994.875,-0.6
1994.9583,-1.2
1995.0417,-0.4
1995.125,-0.1
1995.2083,0.8
1995.2917,-0.7
1995.375,-0.4
1995.4583,0.1
1995.5417,0.4
1995.625,0.3
1995.7083,0.3
1995.7917,0
1995.875,0
1995.9583,-0.5
1996.0417,1
1996.125,0.3
1996.2083,1.1
1996.2917,0.8
1996.375,0.3
1996.4583,1.2
1996.5417,0.7
1996.625,0.7
1996.7083,0.6
1996.7917,0.6
1996.875,-0.1
1996.9583,0.9
1997.0417,0.5
1997.125,1.7
1997.2083,-0.4
1997.2917,-0.6
1997.375,-1.3
1997.4583,-1.4
1997.5417,-0.8
1997.625,-1.4
1997.7083,-1.4
1997.7917,-1.5
1997.875,-1.2
1997.9583,-1
1998.0417,-2.7
1998.125,-2
1998.2083,-2.4
1998.2917,-1.4
1998.375,0.3
1998.4583,1
1998.5417,1.2
1998.625,1.2
1998.7083,1
1998.7917,1.1
1998.875,1
1998.9583,1.4
1999.0417,1.8
1999.125,1
1999.2083,1.3
1999.2917,1.4
1999.375,0.2
